SUBJECT;LABEL;DICE
117122;Amygdala;0.0
117122;GreyMatter;0.6550412478801176
117122;Hippocampus;0.12794268959701688
117122;Thalamus;0.22282129342475887
117122;WhiteMatter;0.7928610559375183
117122-PP;Amygdala;0.0
117122-PP;GreyMatter;0.6550412478801176
117122-PP;Hippocampus;0.12794268959701688
117122-PP;Thalamus;0.22282129342475887
117122-PP;WhiteMatter;0.7928610559375183
118528;Amygdala;0.0
118528;GreyMatter;0.6564884020529588
118528;Hippocampus;0.13160415699024616
118528;Thalamus;0.2130361709901352
118528;WhiteMatter;0.8017422643617517
118528-PP;Amygdala;0.0
118528-PP;GreyMatter;0.6564884020529588
118528-PP;Hippocampus;0.13160415699024616
118528-PP;Thalamus;0.2130361709901352
118528-PP;WhiteMatter;0.8017422643617517
118730;Amygdala;0.0
118730;GreyMatter;0.6604008484112893
118730;Hippocampus;0.1161705841634815
118730;Thalamus;0.2426578872294656
118730;WhiteMatter;0.7802938495692662
118730-PP;Amygdala;0.0
118730-PP;GreyMatter;0.6604008484112893
118730-PP;Hippocampus;0.1161705841634815
118730-PP;Thalamus;0.2426578872294656
118730-PP;WhiteMatter;0.7802938495692662
118932;Amygdala;0.0
118932;GreyMatter;0.6715022009925358
118932;Hippocampus;0.12563815677353862
118932;Thalamus;0.22458469751158763
118932;WhiteMatter;0.8091306450145778
118932-PP;Amygdala;0.0
118932-PP;GreyMatter;0.6715022009925358
118932-PP;Hippocampus;0.12563815677353862
118932-PP;Thalamus;0.22458469751158763
118932-PP;WhiteMatter;0.8091306450145778
120111;Amygdala;0.0
120111;GreyMatter;0.6521624720828475
120111;Hippocampus;0.12942483893780551
120111;Thalamus;0.23383328678507537
120111;WhiteMatter;0.8204507796026307
120111-PP;Amygdala;0.0
120111-PP;GreyMatter;0.6521624720828475
120111-PP;Hippocampus;0.12942483893780551
120111-PP;Thalamus;0.23383328678507537
120111-PP;WhiteMatter;0.8204507796026307
122317;Amygdala;0.0
122317;GreyMatter;0.6576195184345263
122317;Hippocampus;0.11966950742958347
122317;Thalamus;0.21267966162987753
122317;WhiteMatter;0.7917716919127941
122317-PP;Amygdala;0.0
122317-PP;GreyMatter;0.6576195184345263
122317-PP;Hippocampus;0.11966950742958347
122317-PP;Thalamus;0.21267966162987753
122317-PP;WhiteMatter;0.7917716919127941
122620;Amygdala;0.0
122620;GreyMatter;0.6647173543626724
122620;Hippocampus;0.12999621106511963
122620;Thalamus;0.23126702997275203
122620;WhiteMatter;0.7761192505685479
122620-PP;Amygdala;0.0
122620-PP;GreyMatter;0.6647173543626724
122620-PP;Hippocampus;0.12999621106511963
122620-PP;Thalamus;0.23126702997275203
122620-PP;WhiteMatter;0.7761192505685479
123117;Amygdala;0.0
123117;GreyMatter;0.6538339773530573
123117;Hippocampus;0.1301620255449745
123117;Thalamus;0.22003165815197415
123117;WhiteMatter;0.8176546291419542
123117-PP;Amygdala;0.0
123117-PP;GreyMatter;0.6538339773530573
123117-PP;Hippocampus;0.1301620255449745
123117-PP;Thalamus;0.22003165815197415
123117-PP;WhiteMatter;0.8176546291419542
123925;Amygdala;0.0
123925;GreyMatter;0.6445205818020044
123925;Hippocampus;0.13682352570365935
123925;Thalamus;0.24848909955292933
123925;WhiteMatter;0.7951690625707225
123925-PP;Amygdala;0.0
123925-PP;GreyMatter;0.6445205818020044
123925-PP;Hippocampus;0.13682352570365935
123925-PP;Thalamus;0.24848909955292933
123925-PP;WhiteMatter;0.7951690625707225
124422;Amygdala;0.0
124422;GreyMatter;0.635434961935694
124422;Hippocampus;0.13764118728657737
124422;Thalamus;0.24447008896995867
124422;WhiteMatter;0.7498695744966761
124422-PP;Amygdala;0.0
124422-PP;GreyMatter;0.635434961935694
124422-PP;Hippocampus;0.13764118728657737
124422-PP;Thalamus;0.24447008896995867
124422-PP;WhiteMatter;0.7498695744966761
