SUBJECT;LABEL;DICE
117122;Amygdala;0.0
117122;GreyMatter;0.5049518174910937
117122;Hippocampus;0.0
117122;Thalamus;0.18743271275897383
117122;WhiteMatter;0.740533406625319
117122-PP;Amygdala;0.0
117122-PP;GreyMatter;0.5049518174910937
117122-PP;Hippocampus;0.0
117122-PP;Thalamus;0.18743271275897383
117122-PP;WhiteMatter;0.740533406625319
118528;Amygdala;0.0
118528;GreyMatter;0.2896924470959122
118528;Hippocampus;0.0
118528;Thalamus;0.12417463086764759
118528;WhiteMatter;0.5057401058288504
118528-PP;Amygdala;0.0
118528-PP;GreyMatter;0.2896924470959122
118528-PP;Hippocampus;0.0
118528-PP;Thalamus;0.12417463086764759
118528-PP;WhiteMatter;0.5057401058288504
118730;Amygdala;0.0
118730;GreyMatter;0.46381087979459
118730;Hippocampus;0.0
118730;Thalamus;0.16918407554001527
118730;WhiteMatter;0.622768070200833
118730-PP;Amygdala;0.0
118730-PP;GreyMatter;0.46381087979459
118730-PP;Hippocampus;0.0
118730-PP;Thalamus;0.16918407554001527
118730-PP;WhiteMatter;0.622768070200833
118932;Amygdala;0.0
118932;GreyMatter;0.4960650513708038
118932;Hippocampus;0.0
118932;Thalamus;0.16583048172828707
118932;WhiteMatter;0.7352359748958793
118932-PP;Amygdala;0.0
118932-PP;GreyMatter;0.4960650513708038
118932-PP;Hippocampus;0.0
118932-PP;Thalamus;0.16583048172828707
118932-PP;WhiteMatter;0.7352359748958793
120111;Amygdala;0.0
120111;GreyMatter;0.47105868006772317
120111;Hippocampus;0.0
120111;Thalamus;0.17851545710034716
120111;WhiteMatter;0.6735014689820032
120111-PP;Amygdala;0.0
120111-PP;GreyMatter;0.47105868006772317
120111-PP;Hippocampus;0.0
120111-PP;Thalamus;0.17851545710034716
120111-PP;WhiteMatter;0.6735014689820032
122317;Amygdala;0.0
122317;GreyMatter;0.5066965245817024
122317;Hippocampus;0.0
122317;Thalamus;0.14722015124081372
122317;WhiteMatter;0.662731613736117
122317-PP;Amygdala;0.0
122317-PP;GreyMatter;0.5066965245817024
122317-PP;Hippocampus;0.0
122317-PP;Thalamus;0.14722015124081372
122317-PP;WhiteMatter;0.662731613736117
122620;Amygdala;0.0
122620;GreyMatter;0.4898386445735424
122620;Hippocampus;0.0
122620;Thalamus;0.1564959486863381
122620;WhiteMatter;0.6466415208636022
122620-PP;Amygdala;0.0
122620-PP;GreyMatter;0.4898386445735424
122620-PP;Hippocampus;0.0
122620-PP;Thalamus;0.1564959486863381
122620-PP;WhiteMatter;0.6466415208636022
123117;Amygdala;0.0
123117;GreyMatter;0.33645015713200577
123117;Hippocampus;0.0
123117;Thalamus;0.003796142769875207
123117;WhiteMatter;0.42570038718198394
123117-PP;Amygdala;0.0
123117-PP;GreyMatter;0.33645015713200577
123117-PP;Hippocampus;0.0
123117-PP;Thalamus;0.003796142769875207
123117-PP;WhiteMatter;0.42570038718198394
123925;Amygdala;0.0
123925;GreyMatter;0.4165213113287714
123925;Hippocampus;0.0
123925;Thalamus;0.1637634875136031
123925;WhiteMatter;0.5669729349749771
123925-PP;Amygdala;0.0
123925-PP;GreyMatter;0.4165213113287714
123925-PP;Hippocampus;0.0
123925-PP;Thalamus;0.1637634875136031
123925-PP;WhiteMatter;0.5669729349749771
124422;Amygdala;0.0
124422;GreyMatter;0.3903693104585292
124422;Hippocampus;0.0
124422;Thalamus;0.1470888913522768
124422;WhiteMatter;0.5268375507683997
124422-PP;Amygdala;0.0
124422-PP;GreyMatter;0.3903693104585292
124422-PP;Hippocampus;0.0
124422-PP;Thalamus;0.1470888913522768
124422-PP;WhiteMatter;0.5268375507683997
