LABEL;METRIC;STATISTIC;VALUE
Amygdala;AUC;MEAN;0.9623656088889676
Amygdala;AUC;STD;0.026892361069466287
Amygdala;AVGDIST;MEAN;1.4723175016638863
Amygdala;AVGDIST;STD;0.23333668871452998
Amygdala;DICE;MEAN;0.5035392160188007
Amygdala;DICE;STD;0.04547681655211244
Amygdala;FN;MEAN;249.0
Amygdala;FN;STD;184.1216988841891
Amygdala;FP;MEAN;5833.1
Amygdala;FP;STD;554.0730006055159
Amygdala;HDRFDST;MEAN;12.302492563931104
Amygdala;HDRFDST;STD;1.26438788131646
Amygdala;JACRD;MEAN;0.33771930275024553
Amygdala;JACRD;STD;0.04058254235927595
Amygdala;SNSVTY;MEAN;0.9254038561530734
Amygdala;SNSVTY;STD;0.05375955542592415
Amygdala;SPCFTY;MEAN;0.9993273616248614
Amygdala;SPCFTY;STD;6.388282533190716e-05
Amygdala;TN;MEAN;8666125.5
Amygdala;TN;STD;484.86972477151016
Amygdala;TP;MEAN;3081.4
Amygdala;TP;STD;286.92793520324926
GreyMatter;AUC;MEAN;0.9529255805723738
GreyMatter;AUC;STD;0.006832160441051993
GreyMatter;AVGDIST;MEAN;0.30409641081239985
GreyMatter;AVGDIST;STD;0.012967571510221668
GreyMatter;DICE;MEAN;0.7259940127395357
GreyMatter;DICE;STD;0.007857039809735327
GreyMatter;FN;MEAN;26834.45
GreyMatter;FN;STD;7552.396589659472
GreyMatter;FP;MEAN;349695.45
GreyMatter;FP;STD;18539.536400554898
GreyMatter;HDRFDST;MEAN;2.121780527140596
GreyMatter;HDRFDST;STD;0.21919715930407388
GreyMatter;JACRD;MEAN;0.5699110946753512
GreyMatter;JACRD;STD;0.009690051655192508
GreyMatter;SNSVTY;MEAN;0.9487692967611183
GreyMatter;SNSVTY;STD;0.015353768822551853
GreyMatter;SPCFTY;MEAN;0.9570818643836294
GreyMatter;SPCFTY;STD;0.002368114425172947
GreyMatter;TN;MEAN;7799253.95
GreyMatter;TN;STD;41455.05117892752
GreyMatter;TP;MEAN;499505.15
GreyMatter;TP;STD;29512.497392248933
Hippocampus;AUC;MEAN;0.9821429557776421
Hippocampus;AUC;STD;0.009258504987506223
Hippocampus;AVGDIST;MEAN;1.2193970164959846
Hippocampus;AVGDIST;STD;0.06133377050456724
Hippocampus;DICE;MEAN;0.5415044847278492
Hippocampus;DICE;STD;0.01727224098291214
Hippocampus;FN;MEAN;307.3
Hippocampus;FN;STD;184.51289927807218
Hippocampus;FP;MEAN;14302.05
Hippocampus;FP;STD;1158.155623178509
Hippocampus;HDRFDST;MEAN;12.741728006866829
Hippocampus;HDRFDST;STD;1.0480302471901737
Hippocampus;JACRD;MEAN;0.3714668301739936
Hippocampus;JACRD;STD;0.01610945334024367
Hippocampus;SNSVTY;MEAN;0.9659362088170269
Hippocampus;SNSVTY;STD;0.01855219652286969
Hippocampus;SPCFTY;MEAN;0.9983497027382573
Hippocampus;SPCFTY;STD;0.00013367188353930804
Hippocampus;TN;MEAN;8652062.15
Hippocampus;TN;STD;1456.0433810501663
Hippocampus;TP;MEAN;8617.5
Hippocampus;TP;STD;509.0670388072675
Thalamus;AUC;MEAN;0.985300741575443
Thalamus;AUC;STD;0.004600602785903401
Thalamus;AVGDIST;MEAN;0.7104952444578817
Thalamus;AVGDIST;STD;0.14386595798460777
Thalamus;DICE;MEAN;0.7410398983273799
Thalamus;DICE;STD;0.029599504290863207
Thalamus;FN;MEAN;501.6
Thalamus;FN;STD;175.8915575006373
Thalamus;FP;MEAN;11629.5
Thalamus;FP;STD;2018.326051459476
Thalamus;HDRFDST;MEAN;16.21997455017037
Thalamus;HDRFDST;STD;0.8440530740572281
Thalamus;JACRD;MEAN;0.5894901174737903
Thalamus;JACRD;STD;0.03732864443048918
Thalamus;SNSVTY;MEAN;0.9719447649263785
Thalamus;SNSVTY;STD;0.00930982354040223
Thalamus;SPCFTY;MEAN;0.9986567182245076
Thalamus;SPCFTY;STD;0.00023313888874514877
Thalamus;TN;MEAN;8645911.9
Thalamus;TN;STD;2229.680669961508
Thalamus;TP;MEAN;17246.0
Thalamus;TP;STD;682.3995896833468
WhiteMatter;AUC;MEAN;0.9720159237834542
WhiteMatter;AUC;STD;0.0031592107809348315
WhiteMatter;AVGDIST;MEAN;0.2192834390741459
WhiteMatter;AVGDIST;STD;0.021640657359330982
WhiteMatter;DICE;MEAN;0.8279428839666101
WhiteMatter;DICE;STD;0.01911769580671704
WhiteMatter;FN;MEAN;16768.8
WhiteMatter;FN;STD;4781.3794411236595
WhiteMatter;FP;MEAN;174355.85
WhiteMatter;FP;STD;20816.565250480206
WhiteMatter;HDRFDST;MEAN;2.5793623479760135
WhiteMatter;HDRFDST;STD;0.38326215289755
WhiteMatter;JACRD;MEAN;0.7068489059146603
WhiteMatter;JACRD;STD;0.02743541110324082
WhiteMatter;SNSVTY;MEAN;0.9652960260271769
WhiteMatter;SNSVTY;STD;0.008519217638850558
WhiteMatter;SPCFTY;MEAN;0.9787358215397315
WhiteMatter;SPCFTY;STD;0.002473992682617551
WhiteMatter;TN;MEAN;8022502.95
WhiteMatter;TN;STD;20670.269892952536
WhiteMatter;TP;MEAN;461661.4
WhiteMatter;TP;STD;27581.44116502979
