SUBJECT;LABEL;DICE
117122;Amygdala;0.0
117122;GreyMatter;0.65874779419018
117122;Hippocampus;0.14999309678310094
117122;Thalamus;0.2302406010554247
117122;WhiteMatter;0.7960637767333882
117122-PP;Amygdala;0.0
117122-PP;GreyMatter;0.65874779419018
117122-PP;Hippocampus;0.14999309678310094
117122-PP;Thalamus;0.2302406010554247
117122-PP;WhiteMatter;0.7960637767333882
118528;Amygdala;0.0
118528;GreyMatter;0.6590705591392086
118528;Hippocampus;0.15040215800121717
118528;Thalamus;0.21500553029372005
118528;WhiteMatter;0.8049757798876187
118528-PP;Amygdala;0.0
118528-PP;GreyMatter;0.6590705591392086
118528-PP;Hippocampus;0.15040215800121717
118528-PP;Thalamus;0.21500553029372005
118528-PP;WhiteMatter;0.8049757798876187
118730;Amygdala;0.0
118730;GreyMatter;0.6625729726890066
118730;Hippocampus;0.1358234597683755
118730;Thalamus;0.24734518650520432
118730;WhiteMatter;0.7841529942238386
118730-PP;Amygdala;0.0
118730-PP;GreyMatter;0.6625729726890066
118730-PP;Hippocampus;0.1358234597683755
118730-PP;Thalamus;0.24734518650520432
118730-PP;WhiteMatter;0.7841529942238386
118932;Amygdala;0.0
118932;GreyMatter;0.6724761218718318
118932;Hippocampus;0.1427501485007877
118932;Thalamus;0.22789034564958283
118932;WhiteMatter;0.812252164687492
118932-PP;Amygdala;0.0
118932-PP;GreyMatter;0.6724761218718318
118932-PP;Hippocampus;0.1427501485007877
118932-PP;Thalamus;0.22789034564958283
118932-PP;WhiteMatter;0.812252164687492
120111;Amygdala;0.0
120111;GreyMatter;0.6548413989650625
120111;Hippocampus;0.15284254840407194
120111;Thalamus;0.2358156310078012
120111;WhiteMatter;0.8232698381454275
120111-PP;Amygdala;0.0
120111-PP;GreyMatter;0.6548413989650625
120111-PP;Hippocampus;0.15284254840407194
120111-PP;Thalamus;0.2358156310078012
120111-PP;WhiteMatter;0.8232698381454275
122317;Amygdala;0.0
122317;GreyMatter;0.6620599427728923
122317;Hippocampus;0.14186399543621825
122317;Thalamus;0.2215632660055581
122317;WhiteMatter;0.7957876430020059
122317-PP;Amygdala;0.0
122317-PP;GreyMatter;0.6620599427728923
122317-PP;Hippocampus;0.14186399543621825
122317-PP;Thalamus;0.2215632660055581
122317-PP;WhiteMatter;0.7957876430020059
122620;Amygdala;0.0
122620;GreyMatter;0.668653952741064
122620;Hippocampus;0.14114410897530924
122620;Thalamus;0.23703623092648876
122620;WhiteMatter;0.780132474633493
122620-PP;Amygdala;0.0
122620-PP;GreyMatter;0.668653952741064
122620-PP;Hippocampus;0.14114410897530924
122620-PP;Thalamus;0.23703623092648876
122620-PP;WhiteMatter;0.780132474633493
123117;Amygdala;0.0
123117;GreyMatter;0.6538232106639691
123117;Hippocampus;0.14865675273994627
123117;Thalamus;0.22277904688129885
123117;WhiteMatter;0.8211077919688149
123117-PP;Amygdala;0.0
123117-PP;GreyMatter;0.6538232106639691
123117-PP;Hippocampus;0.14865675273994627
123117-PP;Thalamus;0.22277904688129885
123117-PP;WhiteMatter;0.8211077919688149
123925;Amygdala;0.0
123925;GreyMatter;0.6463954224379223
123925;Hippocampus;0.15812330783348172
123925;Thalamus;0.25504695097885904
123925;WhiteMatter;0.7991744198874711
123925-PP;Amygdala;0.0
123925-PP;GreyMatter;0.6463954224379223
123925-PP;Hippocampus;0.15812330783348172
123925-PP;Thalamus;0.25504695097885904
123925-PP;WhiteMatter;0.7991744198874711
124422;Amygdala;0.0
124422;GreyMatter;0.6404164502360036
124422;Hippocampus;0.1571392693622858
124422;Thalamus;0.2530995023716919
124422;WhiteMatter;0.7538614139186757
124422-PP;Amygdala;0.0
124422-PP;GreyMatter;0.6404164502360036
124422-PP;Hippocampus;0.1571392693622858
124422-PP;Thalamus;0.2530995023716919
124422-PP;WhiteMatter;0.7538614139186757
