LABEL;METRIC;STATISTIC;VALUE
Amygdala;AUC;MEAN;0.9566945917910752
Amygdala;AUC;STD;0.025322842584239898
Amygdala;AVGDIST;MEAN;1.1957922905803435
Amygdala;AVGDIST;STD;0.20948392631842178
Amygdala;DICE;MEAN;0.5606472880248833
Amygdala;DICE;STD;0.04227608803941044
Amygdala;FN;MEAN;286.6
Amygdala;FN;STD;172.48083951558215
Amygdala;FP;MEAN;4476.15
Amygdala;FP;STD;359.3309442561272
Amygdala;HDRFDST;MEAN;11.779131285597607
Amygdala;HDRFDST;STD;1.285327256637656
Amygdala;JACRD;MEAN;0.3907119357207286
Amygdala;JACRD;STD;0.04082791219443795
Amygdala;SNSVTY;MEAN;0.9140191112627143
Amygdala;SNSVTY;STD;0.05062414969390307
Amygdala;SPCFTY;MEAN;0.999370072319436
Amygdala;SPCFTY;STD;5.0558799038243516e-05
Amygdala;TN;MEAN;7101330.45
Amygdala;TN;STD;334.78866094896347
Amygdala;TP;MEAN;3043.8
Amygdala;TP;STD;281.21692694430754
GreyMatter;AUC;MEAN;0.9505334047286087
GreyMatter;AUC;STD;0.005764375275553605
GreyMatter;AVGDIST;MEAN;0.3127457712817612
GreyMatter;AVGDIST;STD;0.014243049278803691
GreyMatter;DICE;MEAN;0.7227190853094693
GreyMatter;DICE;STD;0.0076300908904384564
GreyMatter;FN;MEAN;22953.9
GreyMatter;FN;STD;6680.914547425374
GreyMatter;FP;MEAN;362838.95
GreyMatter;FP;STD;18793.02813671868
GreyMatter;HDRFDST;MEAN;2.2171205984887674
GreyMatter;HDRFDST;STD;0.3665736648435207
GreyMatter;JACRD;MEAN;0.5658822283918837
GreyMatter;JACRD;STD;0.009368907787943961
GreyMatter;SNSVTY;MEAN;0.9561943298060649
GreyMatter;SNSVTY;STD;0.013513498618064456
GreyMatter;SPCFTY;MEAN;0.9448724796511527
GreyMatter;SPCFTY;STD;0.00300409582825658
GreyMatter;TN;MEAN;6219958.45
GreyMatter;TN;STD;41665.55586509677
GreyMatter;TP;MEAN;503385.7
GreyMatter;TP;STD;28993.478708323364
Hippocampus;AUC;MEAN;0.9829954892282476
Hippocampus;AUC;STD;0.009103947109901301
Hippocampus;AVGDIST;MEAN;1.172220795206484
Hippocampus;AVGDIST;STD;0.05469746106084989
Hippocampus;DICE;MEAN;0.5507336622288622
Hippocampus;DICE;STD;0.019866492371356664
Hippocampus;FN;MEAN;289.4
Hippocampus;FN;STD;180.26158769965386
Hippocampus;FP;MEAN;13832.0
Hippocampus;FP;STD;1321.0691881956827
Hippocampus;HDRFDST;MEAN;12.646434973695197
Hippocampus;HDRFDST;STD;1.00880248616809
Hippocampus;JACRD;MEAN;0.3802669745181309
Hippocampus;JACRD;STD;0.018851412398598284
Hippocampus;SNSVTY;MEAN;0.9679390949084038
Hippocampus;SNSVTY;STD;0.018251411539347753
Hippocampus;SPCFTY;MEAN;0.9980518835480916
Hippocampus;SPCFTY;STD;0.00018611233770870927
Hippocampus;TN;MEAN;7086380.2
Hippocampus;TN;STD;1620.1160020196087
Hippocampus;TP;MEAN;8635.4
Hippocampus;TP;STD;509.3631710282949
Thalamus;AUC;MEAN;0.98388842342454
Thalamus;AUC;STD;0.004079448715623632
Thalamus;AVGDIST;MEAN;0.6742243109412607
Thalamus;AVGDIST;STD;0.14572465878573607
Thalamus;DICE;MEAN;0.7468149581029748
Thalamus;DICE;STD;0.029618129521636585
Thalamus;FN;MEAN;548.2
Thalamus;FN;STD;158.90361858686543
Thalamus;FP;MEAN;11184.8
Thalamus;FP;STD;1896.4871631519154
Thalamus;HDRFDST;MEAN;15.085615648562074
Thalamus;HDRFDST;STD;1.2345851545596238
Thalamus;JACRD;MEAN;0.5968237233879214
Thalamus;JACRD;STD;0.037676203128147165
Thalamus;SNSVTY;MEAN;0.969354086196532
Thalamus;SNSVTY;STD;0.008206989441564238
Thalamus;SPCFTY;MEAN;0.9984227606525484
Thalamus;SPCFTY;STD;0.00026744758290158846
Thalamus;TN;MEAN;7080204.6
Thalamus;TN;STD;2109.642419937559
Thalamus;TP;MEAN;17199.4
Thalamus;TP;STD;661.091098109784
WhiteMatter;AUC;MEAN;0.9692587177998613
WhiteMatter;AUC;STD;0.003138702057312239
WhiteMatter;AVGDIST;MEAN;0.23032386266388033
WhiteMatter;AVGDIST;STD;0.02169447268766248
WhiteMatter;DICE;MEAN;0.8262224572871801
WhiteMatter;DICE;STD;0.018837360846387593
WhiteMatter;FN;MEAN;16859.0
WhiteMatter;FN;STD;4997.625986405946
WhiteMatter;FP;MEAN;176552.35
WhiteMatter;FP;STD;20716.850289739992
WhiteMatter;HDRFDST;MEAN;2.547140217426731
WhiteMatter;HDRFDST;STD;0.3347786026126921
WhiteMatter;JACRD;MEAN;0.7043338605945513
WhiteMatter;JACRD;STD;0.027015296200441782
WhiteMatter;SNSVTY;MEAN;0.9651334917811305
WhiteMatter;SNSVTY;STD;0.008996915809056918
WhiteMatter;SPCFTY;MEAN;0.9733839438185917
WhiteMatter;SPCFTY;STD;0.0030234659324370303
WhiteMatter;TN;MEAN;6454154.45
WhiteMatter;TN;STD;20513.681979291283
WhiteMatter;TP;MEAN;461571.2
WhiteMatter;TP;STD;27406.25045970353
