LABEL;METRIC;STATISTIC;VALUE
Amygdala;AUC;MEAN;0.9476422612858659
Amygdala;AUC;STD;0.02644091560933075
Amygdala;AVGDIST;MEAN;1.307373728375385
Amygdala;AVGDIST;STD;0.22283781586454693
Amygdala;DICE;MEAN;0.5432741959480653
Amygdala;DICE;STD;0.04564760147086085
Amygdala;FN;MEAN;346.1
Amygdala;FN;STD;176.6162223579703
Amygdala;FP;MEAN;4666.05
Amygdala;FP;STD;440.67215421444547
Amygdala;HDRFDST;MEAN;11.899750289865269
Amygdala;HDRFDST;STD;1.30228377815722
Amygdala;JACRD;MEAN;0.374288164511897
Amygdala;JACRD;STD;0.04299997987442413
Amygdala;SNSVTY;MEAN;0.8958225836517532
Amygdala;SNSVTY;STD;0.05286465834877691
Amygdala;SPCFTY;MEAN;0.9994619389199787
Amygdala;SPCFTY;STD;5.080768585105792e-05
Amygdala;TN;MEAN;8667292.55
Amygdala;TN;STD;379.8795170840354
Amygdala;TP;MEAN;2984.3
Amygdala;TP;STD;293.38202058067566
GreyMatter;AUC;MEAN;0.9569966245095685
GreyMatter;AUC;STD;0.0063258844659728345
GreyMatter;AVGDIST;MEAN;0.3222765733994878
GreyMatter;AVGDIST;STD;0.015209903985637874
GreyMatter;DICE;MEAN;0.7181945204649521
GreyMatter;DICE;STD;0.008282399879689149
GreyMatter;FN;MEAN;20928.75
GreyMatter;FN;STD;7180.882521494137
GreyMatter;FP;MEAN;375180.2
GreyMatter;FP;STD;19488.78901471305
GreyMatter;HDRFDST;MEAN;2.3050982792640853
GreyMatter;HDRFDST;STD;0.3694887318089051
GreyMatter;JACRD;MEAN;0.5603644391386406
GreyMatter;JACRD;STD;0.010104453066932337
GreyMatter;SNSVTY;MEAN;0.9600385012173703
GreyMatter;SNSVTY;STD;0.014412662113287485
GreyMatter;SPCFTY;MEAN;0.9539547478017667
GreyMatter;SPCFTY;STD;0.002481035355484649
GreyMatter;TN;MEAN;7773769.2
GreyMatter;TN;STD;41434.61764708346
GreyMatter;TP;MEAN;505410.85
GreyMatter;TP;STD;29245.45771444687
Hippocampus;AUC;MEAN;0.982024604347816
Hippocampus;AUC;STD;0.009734281028201985
Hippocampus;AVGDIST;MEAN;1.456338159526789
Hippocampus;AVGDIST;STD;0.08263059627429699
Hippocampus;DICE;MEAN;0.4928340633597491
Hippocampus;DICE;STD;0.020931695472828946
Hippocampus;FN;MEAN;307.1
Hippocampus;FN;STD;192.22562264172797
Hippocampus;FP;MEAN;17479.6
Hippocampus;FP;STD;1668.6405964137396
Hippocampus;HDRFDST;MEAN;12.51209676482043
Hippocampus;HDRFDST;STD;0.8351254682801442
Hippocampus;JACRD;MEAN;0.32725039036368037
Hippocampus;JACRD;STD;0.01847106841141752
Hippocampus;SNSVTY;MEAN;0.9660661598930901
Hippocampus;SNSVTY;STD;0.019521800182403803
Hippocampus;SPCFTY;MEAN;0.9979830488025419
Hippocampus;SPCFTY;STD;0.00019257504916004008
Hippocampus;TN;MEAN;8648884.6
Hippocampus;TN;STD;1917.3672939736923
Hippocampus;TP;MEAN;8617.7
Hippocampus;TP;STD;496.8728308128751
Thalamus;AUC;MEAN;0.9851873766001091
Thalamus;AUC;STD;0.004481192348823903
Thalamus;AVGDIST;MEAN;0.5332105306344568
Thalamus;AVGDIST;STD;0.11471495128600913
Thalamus;DICE;MEAN;0.7471147936001483
Thalamus;DICE;STD;0.031358798194565274
Thalamus;FN;MEAN;505.7
Thalamus;FN;STD;168.7359179309491
Thalamus;FP;MEAN;11247.05
Thalamus;FP;STD;2034.8013778990812
Thalamus;HDRFDST;MEAN;8.522565198782251
Thalamus;HDRFDST;STD;2.4116140720491823
Thalamus;JACRD;MEAN;0.5973267841795659
Thalamus;JACRD;STD;0.04042073308703719
Thalamus;SNSVTY;MEAN;0.9716738596425631
Thalamus;SNSVTY;STD;0.009053261655498928
Thalamus;SPCFTY;MEAN;0.9987008935576549
Thalamus;SPCFTY;STD;0.0002350435416912731
Thalamus;TN;MEAN;8646294.35
Thalamus;TN;STD;2245.477549987975
Thalamus;TP;MEAN;17241.9
Thalamus;TP;STD;699.2806947142184
WhiteMatter;AUC;MEAN;0.9718955178726043
WhiteMatter;AUC;STD;0.003353183907707981
WhiteMatter;AVGDIST;MEAN;0.2566442356604516
WhiteMatter;AVGDIST;STD;0.024762795400053
WhiteMatter;DICE;MEAN;0.823251824690181
WhiteMatter;DICE;STD;0.019680266477622842
WhiteMatter;FN;MEAN;16496.0
WhiteMatter;FN;STD;5016.282687409074
WhiteMatter;FP;MEAN;181113.15
WhiteMatter;FP;STD;22211.05643204528
WhiteMatter;HDRFDST;MEAN;3.5310638903322698
WhiteMatter;HDRFDST;STD;0.6177279355764488
WhiteMatter;JACRD;MEAN;0.7000686548363881
WhiteMatter;JACRD;STD;0.02808921088296006
WhiteMatter;SNSVTY;MEAN;0.9658792921581565
WhiteMatter;SNSVTY;STD;0.009110677285300545
WhiteMatter;SPCFTY;MEAN;0.9779117435870524
WhiteMatter;SPCFTY;STD;0.0026441670814445163
WhiteMatter;TN;MEAN;8015745.65
WhiteMatter;TN;STD;21113.46566832409
WhiteMatter;TP;MEAN;461934.2
WhiteMatter;TP;STD;27543.876389498993
