LABEL;METRIC;STATISTIC;VALUE
Amygdala;AUC;MEAN;0.9531530985581129
Amygdala;AUC;STD;0.025759460836213593
Amygdala;AVGDIST;MEAN;1.2591885825464777
Amygdala;AVGDIST;STD;0.22721284643488232
Amygdala;DICE;MEAN;0.5516968418147522
Amygdala;DICE;STD;0.04660067975706671
Amygdala;FN;MEAN;311.2
Amygdala;FN;STD;177.62646199257586
Amygdala;FP;MEAN;4600.3
Amygdala;FP;STD;490.5701886580554
Amygdala;HDRFDST;MEAN;11.96255844422448
Amygdala;HDRFDST;STD;1.1167790598473766
Amygdala;JACRD;MEAN;0.38235443277749653
Amygdala;JACRD;STD;0.044423311638330173
Amygdala;SNSVTY;MEAN;0.9068366764531717
Amygdala;SNSVTY;STD;0.05149315909697788
Amygdala;SPCFTY;MEAN;0.9994695206630541
Amygdala;SPCFTY;STD;5.656423381104342e-05
Amygdala;TN;MEAN;8667358.3
Amygdala;TN;STD;464.4510846149463
Amygdala;TP;MEAN;3019.2
Amygdala;TP;STD;275.2921357394722
GreyMatter;AUC;MEAN;0.9572470571399005
GreyMatter;AUC;STD;0.006192371189050614
GreyMatter;AVGDIST;MEAN;0.3174369433764737
GreyMatter;AVGDIST;STD;0.015250280247135626
GreyMatter;DICE;MEAN;0.7207729179003785
GreyMatter;DICE;STD;0.008254022633489434
GreyMatter;FN;MEAN;20998.25
GreyMatter;FN;STD;6979.990013424088
GreyMatter;FP;MEAN;370032.75
GreyMatter;FP;STD;19057.83482947368
GreyMatter;HDRFDST;MEAN;2.247213595499958
GreyMatter;HDRFDST;STD;0.387338425927704
GreyMatter;JACRD;MEAN;0.5635093157933818
GreyMatter;JACRD;STD;0.010111514275030006
GreyMatter;SNSVTY;MEAN;0.9599076955974436
GreyMatter;SNSVTY;STD;0.014056370612854837
GreyMatter;SPCFTY;MEAN;0.9545864186823574
GreyMatter;SPCFTY;STD;0.0024288745798689846
GreyMatter;TN;MEAN;7778916.65
GreyMatter;TN;STD;41245.15093107916
GreyMatter;TP;MEAN;505341.35
GreyMatter;TP;STD;29165.73455148181
Hippocampus;AUC;MEAN;0.9800800687036839
Hippocampus;AUC;STD;0.010822904388365485
Hippocampus;AVGDIST;MEAN;1.2982803935865825
Hippocampus;AVGDIST;STD;0.08821789599040007
Hippocampus;DICE;MEAN;0.5252552935473083
Hippocampus;DICE;STD;0.022179901190655604
Hippocampus;FN;MEAN;344.4
Hippocampus;FN;STD;213.6718044104088
Hippocampus;FP;MEAN;15213.1
Hippocampus;FP;STD;1525.4192177889986
Hippocampus;HDRFDST;MEAN;12.273343054970672
Hippocampus;HDRFDST;STD;0.7516982473061831
Hippocampus;JACRD;MEAN;0.35647271174628964
Hippocampus;JACRD;STD;0.020334865278776995
Hippocampus;SNSVTY;MEAN;0.9619155599582079
Hippocampus;SNSVTY;STD;0.0216786176159649
Hippocampus;SPCFTY;MEAN;0.99824457744916
Hippocampus;SPCFTY;STD;0.00017604428231829592
Hippocampus;TN;MEAN;8651151.1
Hippocampus;TN;STD;1782.037735290698
Hippocampus;TP;MEAN;8580.4
Hippocampus;TP;STD;498.162262721696
Thalamus;AUC;MEAN;0.9815041193421395
Thalamus;AUC;STD;0.004987388431333921
Thalamus;AVGDIST;MEAN;0.48790857635108376
Thalamus;AVGDIST;STD;0.0864646683534935
Thalamus;DICE;MEAN;0.7616237530342289
Thalamus;DICE;STD;0.027918494504348676
Thalamus;FN;MEAN;640.6
Thalamus;FN;STD;193.19378872003108
Thalamus;FP;MEAN;10128.4
Thalamus;FP;STD;1713.7590087290569
Thalamus;HDRFDST;MEAN;8.392744250970862
Thalamus;HDRFDST;STD;2.347731657961686
Thalamus;JACRD;MEAN;0.6158458122928963
Thalamus;JACRD;STD;0.03672595647762118
Thalamus;SNSVTY;MEAN;0.9641781337603517
Thalamus;SNSVTY;STD;0.010018068043852708
Thalamus;SPCFTY;MEAN;0.9988301049239274
Thalamus;SPCFTY;STD;0.00019795925105846863
Thalamus;TN;MEAN;8647413.0
Thalamus;TN;STD;1947.1003826202696
Thalamus;TP;MEAN;17107.0
Thalamus;TP;STD;651.6126149791761
WhiteMatter;AUC;MEAN;0.9728153400891193
WhiteMatter;AUC;STD;0.0031906188952411747
WhiteMatter;AVGDIST;MEAN;0.24784161795984488
WhiteMatter;AVGDIST;STD;0.022052707573131776
WhiteMatter;DICE;MEAN;0.8224065882910262
WhiteMatter;DICE;STD;0.0195681072416584
WhiteMatter;FN;MEAN;15457.05
WhiteMatter;FN;STD;4731.7140390666045
WhiteMatter;FP;MEAN;183714.3
WhiteMatter;FP;STD;21329.95822804161
WhiteMatter;HDRFDST;MEAN;2.9029957312913504
WhiteMatter;HDRFDST;STD;0.3501653667971734
WhiteMatter;JACRD;MEAN;0.6988421192057112
WhiteMatter;JACRD;STD;0.02787167289833144
WhiteMatter;SNSVTY;MEAN;0.9680363098278386
WhiteMatter;SNSVTY;STD;0.008616484345782806
WhiteMatter;SPCFTY;MEAN;0.9775943703503996
WhiteMatter;SPCFTY;STD;0.002532924956015593
WhiteMatter;TN;MEAN;8013144.5
WhiteMatter;TN;STD;20292.15335172687
WhiteMatter;TP;MEAN;462973.15
WhiteMatter;TP;STD;27696.889293339424
