SUBJECT;LABEL;DICE;HDRFDST
117122;Amygdala;0.4741526226093543;13.038404810405298
117122;GreyMatter;0.7192613992177992;2.0
117122;Hippocampus;0.5298323315406517;13.038404810405298
117122;Thalamus;0.7672225227556037;6.082762530298219
117122;WhiteMatter;0.8131990638413102;3.605551275463989
117122-PP;Amygdala;0.4741526226093543;13.038404810405298
117122-PP;GreyMatter;0.7192613992177992;2.0
117122-PP;Hippocampus;0.5298323315406517;13.038404810405298
117122-PP;Thalamus;0.7672225227556037;6.082762530298219
117122-PP;WhiteMatter;0.8131990638413102;3.605551275463989
118528;Amygdala;0.42765514369012914;13.92838827718412
118528;GreyMatter;0.7166006942581303;3.0
118528;Hippocampus;0.5073984396018294;13.490737563232042
118528;Thalamus;0.7444423089243385;7.0710678118654755
118528;WhiteMatter;0.8257199848485802;3.0
118528-PP;Amygdala;0.42765514369012914;13.92838827718412
118528-PP;GreyMatter;0.7166006942581303;3.0
118528-PP;Hippocampus;0.5073984396018294;13.490737563232042
118528-PP;Thalamus;0.7444423089243385;7.0710678118654755
118528-PP;WhiteMatter;0.8257199848485802;3.0
118730;Amygdala;0.530368123999663;11.40175425099138
118730;GreyMatter;0.7259277770505502;2.0
118730;Hippocampus;0.4616773392761432;11.575836902790225
118730;Thalamus;0.7319684196440519;8.06225774829855
118730;WhiteMatter;0.8115502363313941;2.449489742783178
118730-PP;Amygdala;0.530368123999663;11.40175425099138
118730-PP;GreyMatter;0.7259277770505502;2.0
118730-PP;Hippocampus;0.4616773392761432;11.575836902790225
118730-PP;Thalamus;0.7319684196440519;8.06225774829855
118730-PP;WhiteMatter;0.8115502363313941;2.449489742783178
118932;Amygdala;0.5056160056160056;12.529964086141668
118932;GreyMatter;0.7317471086127803;2.0
118932;Hippocampus;0.49112459917544665;12.083045973594572
118932;Thalamus;0.7476337383785598;9.643650760992955
118932;WhiteMatter;0.8319476889946145;2.8284271247461903
118932-PP;Amygdala;0.5056160056160056;12.529964086141668
118932-PP;GreyMatter;0.7317471086127803;2.0
118932-PP;Hippocampus;0.49112459917544665;12.083045973594572
118932-PP;Thalamus;0.7476337383785598;9.643650760992955
118932-PP;WhiteMatter;0.8319476889946145;2.8284271247461903
120111;Amygdala;0.4893998695368558;10.04987562112089
120111;GreyMatter;0.7141077375238502;2.0
120111;Hippocampus;0.4733279924859803;12.0
120111;Thalamus;0.7139118601486444;14.142135623730951
120111;WhiteMatter;0.8485431029218251;2.23606797749979
120111-PP;Amygdala;0.4893998695368558;10.04987562112089
120111-PP;GreyMatter;0.7141077375238502;2.0
120111-PP;Hippocampus;0.4733279924859803;12.0
120111-PP;Thalamus;0.7139118601486444;14.142135623730951
120111-PP;WhiteMatter;0.8485431029218251;2.23606797749979
122317;Amygdala;0.557711950970378;13.038404810405298
122317;GreyMatter;0.7317140311458331;2.0
122317;Hippocampus;0.5041322314049587;12.328828005937952
122317;Thalamus;0.7708262495749745;7.280109889280518
122317;WhiteMatter;0.8327852459692384;3.1622776601683795
122317-PP;Amygdala;0.557711950970378;13.038404810405298
122317-PP;GreyMatter;0.7317140311458331;2.0
122317-PP;Hippocampus;0.5041322314049587;12.328828005937952
122317-PP;Thalamus;0.7708262495749745;7.280109889280518
122317-PP;WhiteMatter;0.8327852459692384;3.1622776601683795
122620;Amygdala;0.563375555741968;13.0
122620;GreyMatter;0.734752978426681;2.23606797749979
122620;Hippocampus;0.5041516348851858;13.379088160259652
122620;Thalamus;0.760997165621443;6.708203932499369
122620;WhiteMatter;0.8039050506438609;3.0
122620-PP;Amygdala;0.563375555741968;13.0
122620-PP;GreyMatter;0.734752978426681;2.23606797749979
122620-PP;Hippocampus;0.5041516348851858;13.379088160259652
122620-PP;Thalamus;0.760997165621443;6.708203932499369
122620-PP;WhiteMatter;0.8039050506438609;3.0
123117;Amygdala;0.49848864323343983;13.0
123117;GreyMatter;0.7183967516819857;3.0
123117;Hippocampus;0.48588323477971185;12.206555615733702
123117;Thalamus;0.7287923993313443;14.247806848775006
123117;WhiteMatter;0.8461129622259852;3.1622776601683795
123117-PP;Amygdala;0.49848864323343983;13.0
123117-PP;GreyMatter;0.7183967516819857;3.0
123117-PP;Hippocampus;0.48588323477971185;12.206555615733702
123117-PP;Thalamus;0.7287923993313443;14.247806848775006
123117-PP;WhiteMatter;0.8461129622259852;3.1622776601683795
123925;Amygdala;0.52170799391281;11.445523142259598
123925;GreyMatter;0.7141007819555361;2.0
123925;Hippocampus;0.4983929120433774;13.038404810405298
123925;Thalamus;0.7823504089539389;6.4031242374328485
123925;WhiteMatter;0.8294093442304017;3.0
123925-PP;Amygdala;0.52170799391281;11.445523142259598
123925-PP;GreyMatter;0.7141007819555361;2.0
123925-PP;Hippocampus;0.4983929120433774;13.038404810405298
123925-PP;Thalamus;0.7823504089539389;6.4031242374328485
123925-PP;WhiteMatter;0.8294093442304017;3.0
124422;Amygdala;0.6021063447212947;11.0
124422;GreyMatter;0.7111647500506048;2.0
124422;Hippocampus;0.5120671563483735;11.313708498984761
124422;Thalamus;0.8059355875333759;6.324555320336759
124422;WhiteMatter;0.7775122810032488;3.1622776601683795
124422-PP;Amygdala;0.6021063447212947;11.0
124422-PP;GreyMatter;0.7111647500506048;2.0
124422-PP;Hippocampus;0.5120671563483735;11.313708498984761
124422-PP;Thalamus;0.8059355875333759;6.324555320336759
124422-PP;WhiteMatter;0.7775122810032488;3.1622776601683795
