LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.5170582254031898
Amygdala;DICE;STD;0.04722765824740042
Amygdala;HDRFDST;MEAN;12.243231499850825
Amygdala;HDRFDST;STD;1.1416139632382398
GreyMatter;DICE;MEAN;0.7217774009923751
GreyMatter;DICE;STD;0.008115804611323772
GreyMatter;HDRFDST;MEAN;2.223606797749979
GreyMatter;HDRFDST;STD;0.3944271909999159
Hippocampus;DICE;MEAN;0.4967987871541659
Hippocampus;DICE;STD;0.0186623036877963
Hippocampus;HDRFDST;MEAN;12.445461034134352
Hippocampus;HDRFDST;STD;0.7144925806777495
Thalamus;DICE;MEAN;0.7554080660866276
Thalamus;DICE;STD;0.026168480880036527
Thalamus;HDRFDST;MEAN;8.596567470351065
Thalamus;HDRFDST;STD;2.966315513849106
WhiteMatter;DICE;MEAN;0.8220684961010459
WhiteMatter;DICE;STD;0.020157324799572968
WhiteMatter;HDRFDST;MEAN;2.9606369100998284
WhiteMatter;HDRFDST;STD;0.36691836497310937
