LABEL,METRIC,VALUE2024-11-21-21-30-11,VALUE2024-11-21-16-12-30,DIFFERENCE
Amygdala,AUC,0.9588268940258288,0.9604922569394344,0.0016653629136056392
Amygdala,AVGDIST,1.4113189836122568,1.311716155987878,-0.09960282762437878
Amygdala,DICE,0.5475514799776426,0.5323713541419736,-0.015180125835669078
Amygdala,FN,273.3,262.4,-10.900000000000034
Amygdala,FP,4780.2,5132.55,352.35000000000036
Amygdala,HDRFDST,14.584905898629128,11.886890353470417,-2.698015545158711
Amygdala,JACRD,0.378169682341091,0.3640183421064323,-0.014151340234658694
Amygdala,SNSVTY,0.91820501231891,0.9215763690038766,0.0033713566849665755
Amygdala,SPCFTY,0.9994487757327478,0.9994081448749922,-4.0630857755630245e-05
Amygdala,TN,8667178.4,8666826.05,-352.34999999962747
Amygdala,TP,3057.1,3068.0,10.900000000000091
GreyMatter,AUC,0.954735496572262,0.9545077468695492,-0.00022774970271277617
GreyMatter,AVGDIST,0.3094343271830589,0.3077161369679417,-0.0017181902151172102
GreyMatter,DICE,0.7259147885324284,0.7232655739355863,-0.0026492145968420866
GreyMatter,FN,24693.35,24597.35,-96.0
GreyMatter,FP,353636.1,358813.95,5177.850000000035
GreyMatter,HDRFDST,2.244948974278318,2.2659985667725464,0.021049592494228442
GreyMatter,JACRD,0.5698145157502458,0.5665602551306675,-0.003254260619578231
GreyMatter,SNSVTY,0.9528725367418708,0.9530521761960198,0.0001796394541490054
GreyMatter,SPCFTY,0.9565984564026532,0.9559633175430784,-0.0006351388595747798
GreyMatter,TN,7795313.3,7790135.45,-5177.8499999996275
GreyMatter,TP,501646.25,501742.25,96.0
Hippocampus,AUC,0.979101639188912,0.9795188812922556,0.0004172421033435958
Hippocampus,AVGDIST,1.1228763418514138,1.342456500470444,0.21958015861903024
Hippocampus,DICE,0.5621406675569104,0.5514070351706358,-0.01073363238627456
Hippocampus,FN,362.9,356.7,-6.199999999999989
Hippocampus,FP,13008.9,13602.05,593.1499999999996
Hippocampus,HDRFDST,12.039033144263923,14.445537851021712,2.4065047067577883
Hippocampus,JACRD,0.3912488069499937,0.3808204080155929,-0.010428398934400784
Hippocampus,SNSVTY,0.95970436114538,0.9606072878719512,0.0009029267265711072
Hippocampus,SPCFTY,0.998498917232444,0.9984304747125602,-6.844251988380456e-05
Hippocampus,TN,8653355.3,8652762.15,-593.1500000003725
Hippocampus,TP,8561.9,8568.1,6.200000000000728
Thalamus,AUC,0.9833801992287532,0.9816330137817332,-0.0017471854470200165
Thalamus,AVGDIST,0.7609484639223577,0.7994311404553927,0.03848267653303494
Thalamus,DICE,0.7411498954743425,0.7393683095502188,-0.0017815859241236964
Thalamus,FN,570.55,632.4,61.85000000000002
Thalamus,FP,11497.4,11498.9,1.5
Thalamus,HDRFDST,16.302570421960183,19.345775335954293,3.04320491399411
Thalamus,JACRD,0.5895541261904615,0.5873044171389588,-0.0022497090515027907
Thalamus,SNSVTY,0.9680884212986176,0.9645942236007836,-0.0034941976978339895
Thalamus,SPCFTY,0.9986719771588894,0.9986718039626824,-1.731962070428139e-07
Thalamus,TN,8646044.0,8646042.5,-1.5
Thalamus,TP,17177.05,17115.2,-61.849999999998545
WhiteMatter,AUC,0.9728269423146104,0.9712233904486473,-0.001603551865963171
WhiteMatter,AVGDIST,0.2323828334931562,0.2224702505078011,-0.009912582985355106
WhiteMatter,DICE,0.8237959957305119,0.828710183203726,0.004914187473214149
WhiteMatter,FN,15570.65,17681.15,2110.500000000002
WhiteMatter,FP,181662.7,172060.6,-9602.100000000006
WhiteMatter,HDRFDST,2.4713527410341287,2.562507923379343,0.09115518234521414
WhiteMatter,JACRD,0.700857363137577,0.7079647761975962,0.007107413060019274
WhiteMatter,SNSVTY,0.967809074012416,0.9634307711445942,-0.004378302867821815
WhiteMatter,SPCFTY,0.9778448106168056,0.9790160097527,0.001171199135894363
WhiteMatter,TN,8015196.1,8024798.2,9602.100000000559
WhiteMatter,TP,462859.55,460749.05,-2110.5
