LABEL;METRIC;STATISTIC;VALUE
Amygdala;AUC;MEAN;0.9604922569394343
Amygdala;AUC;STD;0.02518754373468034
Amygdala;AVGDIST;MEAN;1.311716155987878
Amygdala;AVGDIST;STD;0.21902821254464935
Amygdala;DICE;MEAN;0.5323713541419736
Amygdala;DICE;STD;0.044835844752717804
Amygdala;FN;MEAN;262.4
Amygdala;FN;STD;174.29354549150693
Amygdala;FP;MEAN;5132.55
Amygdala;FP;STD;521.9537790839338
Amygdala;HDRFDST;MEAN;11.886890353470417
Amygdala;HDRFDST;STD;1.2254948896555962
Amygdala;JACRD;MEAN;0.3640183421064323
Amygdala;JACRD;STD;0.041787926391384594
Amygdala;SNSVTY;MEAN;0.9215763690038766
Amygdala;SNSVTY;STD;0.050355663298690255
Amygdala;SPCFTY;MEAN;0.9994081448749922
Amygdala;SPCFTY;STD;6.018092239828768e-05
Amygdala;TN;MEAN;8666826.05
Amygdala;TN;STD;466.77537156538153
Amygdala;TP;MEAN;3068.0
Amygdala;TP;STD;272.32737651583983
GreyMatter;AUC;MEAN;0.9545077468695491
GreyMatter;AUC;STD;0.006398812128952022
GreyMatter;AVGDIST;MEAN;0.30771613696794176
GreyMatter;AVGDIST;STD;0.014168773048353395
GreyMatter;DICE;MEAN;0.7232655739355863
GreyMatter;DICE;STD;0.008140866028667633
GreyMatter;FN;MEAN;24597.35
GreyMatter;FN;STD;7122.39700013275
GreyMatter;FP;MEAN;358813.95
GreyMatter;FP;STD;17970.208238846317
GreyMatter;HDRFDST;MEAN;2.2659985667725464
GreyMatter;HDRFDST;STD;0.4065101417981671
GreyMatter;JACRD;MEAN;0.5665602551306675
GreyMatter;JACRD;STD;0.01000007267248775
GreyMatter;SNSVTY;MEAN;0.9530521761960198
GreyMatter;SNSVTY;STD;0.014427355371446647
GreyMatter;SPCFTY;MEAN;0.9559633175430783
GreyMatter;SPCFTY;STD;0.0022950980854356015
GreyMatter;TN;MEAN;7790135.45
GreyMatter;TN;STD;40481.209818229254
GreyMatter;TP;MEAN;501742.25
GreyMatter;TP;STD;29217.184634860012
Hippocampus;AUC;MEAN;0.9795188812922557
Hippocampus;AUC;STD;0.00963757398272411
Hippocampus;AVGDIST;MEAN;1.342456500470444
Hippocampus;AVGDIST;STD;0.07724156069491021
Hippocampus;DICE;MEAN;0.5514070351706358
Hippocampus;DICE;STD;0.016086625135745835
Hippocampus;FN;MEAN;356.7
Hippocampus;FN;STD;195.0323306531509
Hippocampus;FP;MEAN;13602.05
Hippocampus;FP;STD;1088.3481278984223
Hippocampus;HDRFDST;MEAN;14.445537851021712
Hippocampus;HDRFDST;STD;1.3879611646940975
Hippocampus;JACRD;MEAN;0.3808204080155929
Hippocampus;JACRD;STD;0.01533865621857359
Hippocampus;SNSVTY;MEAN;0.9606072878719513
Hippocampus;SNSVTY;STD;0.019298912452573064
Hippocampus;SPCFTY;MEAN;0.9984304747125602
Hippocampus;SPCFTY;STD;0.0001256203900380711
Hippocampus;TN;MEAN;8652762.15
Hippocampus;TN;STD;1405.2086775635853
Hippocampus;TP;MEAN;8568.1
Hippocampus;TP;STD;473.88805640150923
Thalamus;AUC;MEAN;0.9816330137817332
Thalamus;AUC;STD;0.004456886449433516
Thalamus;AVGDIST;MEAN;0.7994311404553927
Thalamus;AVGDIST;STD;0.13557423521125153
Thalamus;DICE;MEAN;0.7393683095502188
Thalamus;DICE;STD;0.028284998018852366
Thalamus;FN;MEAN;632.4
Thalamus;FN;STD;173.28716051687155
Thalamus;FP;MEAN;11498.9
Thalamus;FP;STD;1852.6010336821041
Thalamus;HDRFDST;MEAN;19.345775335954293
Thalamus;HDRFDST;STD;3.786948197530912
Thalamus;JACRD;MEAN;0.5873044171389588
Thalamus;JACRD;STD;0.03558529382347498
Thalamus;SNSVTY;MEAN;0.9645942236007835
Thalamus;SNSVTY;STD;0.008970469535410024
Thalamus;SPCFTY;MEAN;0.9986718039626824
Thalamus;SPCFTY;STD;0.00021399499062569282
Thalamus;TN;MEAN;8646042.5
Thalamus;TN;STD;2058.2532764458315
Thalamus;TP;MEAN;17115.2
Thalamus;TP;STD;667.8790010173999
WhiteMatter;AUC;MEAN;0.9712233904486471
WhiteMatter;AUC;STD;0.003457066088465806
WhiteMatter;AVGDIST;MEAN;0.22247025050780117
WhiteMatter;AVGDIST;STD;0.022175992370425866
WhiteMatter;DICE;MEAN;0.828710183203726
WhiteMatter;DICE;STD;0.019045938503058003
WhiteMatter;FN;MEAN;17681.15
WhiteMatter;FN;STD;5167.109000930791
WhiteMatter;FP;MEAN;172060.6
WhiteMatter;FP;STD;21356.84377992216
WhiteMatter;HDRFDST;MEAN;2.562507923379343
WhiteMatter;HDRFDST;STD;0.36544923398208345
WhiteMatter;JACRD;MEAN;0.7079647761975962
WhiteMatter;JACRD;STD;0.027399112620083897
WhiteMatter;SNSVTY;MEAN;0.9634307711445942
WhiteMatter;SNSVTY;STD;0.009253996516043198
WhiteMatter;SPCFTY;MEAN;0.9790160097527
WhiteMatter;SPCFTY;STD;0.0025411187818276076
WhiteMatter;TN;MEAN;8024798.2
WhiteMatter;TN;STD;20672.199475624264
WhiteMatter;TP;MEAN;460749.05
WhiteMatter;TP;STD;27256.534217458753
