LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.0
Amygdala;DICE;STD;0.0
Amygdala;HDRFDST;MEAN;inf
Amygdala;HDRFDST;STD;nan
GreyMatter;DICE;MEAN;0.6617765398152117
GreyMatter;DICE;STD;0.008957635080036304
GreyMatter;HDRFDST;MEAN;6.4563558350531665
GreyMatter;HDRFDST;STD;0.7845185346280422
Hippocampus;DICE;MEAN;0.1544713203193553
Hippocampus;DICE;STD;0.007633673665923379
Hippocampus;HDRFDST;MEAN;33.83707570479406
Hippocampus;HDRFDST;STD;1.2051173171253537
Thalamus;DICE;MEAN;0.22937651174160636
Thalamus;DICE;STD;0.01247723680380774
Thalamus;HDRFDST;MEAN;43.19621637803294
Thalamus;HDRFDST;STD;1.1344120160498663
WhiteMatter;DICE;MEAN;0.7954451315639203
WhiteMatter;DICE;STD;0.01957533378795781
WhiteMatter;HDRFDST;MEAN;9.295729096828072
WhiteMatter;HDRFDST;STD;0.2990327045390732
