LABEL;METRIC;STATISTIC;VALUE
Amygdala;AUC;MEAN;0.9357966674272413
Amygdala;AUC;STD;0.027879378782333434
Amygdala;AVGDIST;MEAN;1.4222182329642319
Amygdala;AVGDIST;STD;0.2103558207058808
Amygdala;DICE;MEAN;0.5399447578777318
Amygdala;DICE;STD;0.04524244201481499
Amygdala;FN;MEAN;425.8
Amygdala;FN;STD;189.3815196897522
Amygdala;FP;MEAN;4521.65
Amygdala;FP;STD;450.701040047613
Amygdala;HDRFDST;MEAN;12.827931456815104
Amygdala;HDRFDST;STD;1.1593854144560867
Amygdala;JACRD;MEAN;0.3711355988969787
Amygdala;JACRD;STD;0.04277155554729828
Amygdala;SNSVTY;MEAN;0.8721147449372036
Amygdala;SNSVTY;STD;0.05574116710646743
Amygdala;SPCFTY;MEAN;0.9994785899172791
Amygdala;SPCFTY;STD;5.1968868072311605e-05
Amygdala;TN;MEAN;8667436.95
Amygdala;TN;STD;457.6643393361558
Amygdala;TP;MEAN;2904.6
Amygdala;TP;STD;286.8728638264693
GreyMatter;AUC;MEAN;0.9240042588408899
GreyMatter;AUC;STD;0.008275900025294223
GreyMatter;AVGDIST;MEAN;0.34214520958091976
GreyMatter;AVGDIST;STD;0.01566119785844619
GreyMatter;DICE;MEAN;0.7071798093349095
GreyMatter;DICE;STD;0.009313886155033249
GreyMatter;FN;MEAN;58627.2
GreyMatter;FN;STD;8603.652257035961
GreyMatter;FP;MEAN;327994.85
GreyMatter;FP;STD;16430.998378902605
GreyMatter;HDRFDST;MEAN;2.278230037365194
GreyMatter;HDRFDST;STD;0.33116143623161787
GreyMatter;JACRD;MEAN;0.5470856077421945
GreyMatter;JACRD;STD;0.011113921619868924
GreyMatter;SNSVTY;MEAN;0.8882630581099921
GreyMatter;SNSVTY;STD;0.018113030968206177
GreyMatter;SPCFTY;MEAN;0.9597454595717878
GreyMatter;SPCFTY;STD;0.0021028480215178596
GreyMatter;TN;MEAN;7820954.55
GreyMatter;TN;STD;39610.50869336949
GreyMatter;TP;MEAN;467712.4
GreyMatter;TP;STD;29248.8543526067
Hippocampus;AUC;MEAN;0.9687385040559814
Hippocampus;AUC;STD;0.00891000236063474
Hippocampus;AVGDIST;MEAN;1.7688895842979249
Hippocampus;AVGDIST;STD;0.10022637122415708
Hippocampus;DICE;MEAN;0.5541219553540957
Hippocampus;DICE;STD;0.01468764194562668
Hippocampus;FN;MEAN;548.3
Hippocampus;FN;STD;184.5855086403047
Hippocampus;FP;MEAN;12955.75
Hippocampus;FP;STD;1205.0322350460174
Hippocampus;HDRFDST;MEAN;27.55708787430168
Hippocampus;HDRFDST;STD;3.384805443155574
Hippocampus;JACRD;MEAN;0.38338574273816206
Hippocampus;JACRD;STD;0.014098888448364592
Hippocampus;SNSVTY;MEAN;0.9389719583644005
Hippocampus;SNSVTY;STD;0.017895079627894918
Hippocampus;SPCFTY;MEAN;0.9985050497475626
Hippocampus;SPCFTY;STD;0.0001390870596944973
Hippocampus;TN;MEAN;8653408.45
Hippocampus;TN;STD;1529.409019033169
Hippocampus;TP;MEAN;8376.5
Hippocampus;TP;STD;485.78415988996596
Thalamus;AUC;MEAN;0.9744762035938421
Thalamus;AUC;STD;0.004661900267850902
Thalamus;AVGDIST;MEAN;0.9604289066075996
Thalamus;AVGDIST;STD;0.11095645362487798
Thalamus;DICE;MEAN;0.7391158563070847
Thalamus;DICE;STD;0.020775601833284543
Thalamus;FN;MEAN;886.9
Thalamus;FN;STD;187.76871411393327
Thalamus;FP;MEAN;11050.85
Thalamus;FP;STD;1451.8504149877147
Thalamus;HDRFDST;MEAN;29.41182563103758
Thalamus;HDRFDST;STD;3.7409240903071916
Thalamus;JACRD;MEAN;0.5866189487999799
Thalamus;JACRD;STD;0.026124665120173543
Thalamus;SNSVTY;MEAN;0.9502288504467981
Thalamus;SNSVTY;STD;0.00942482434168592
Thalamus;SPCFTY;MEAN;0.9987235567408866
Thalamus;SPCFTY;STD;0.00016770580132810915
Thalamus;TN;MEAN;8646490.55
Thalamus;TN;STD;1697.2553866463352
Thalamus;TP;MEAN;16860.7
Thalamus;TP;STD;668.4398327448777
WhiteMatter;AUC;MEAN;0.9587421392859617
WhiteMatter;AUC;STD;0.00349925666603716
WhiteMatter;AVGDIST;MEAN;0.2601795209978104
WhiteMatter;AVGDIST;STD;0.023843705474733527
WhiteMatter;DICE;MEAN;0.8170006437026107
WhiteMatter;DICE;STD;0.017931665303392914
WhiteMatter;FN;MEAN;29681.2
WhiteMatter;FN;STD;5566.882678842801
WhiteMatter;FP;MEAN;170610.55
WhiteMatter;FP;STD;19701.34391475617
WhiteMatter;HDRFDST;MEAN;3.25759509251331
WhiteMatter;HDRFDST;STD;0.2967729995016407
WhiteMatter;JACRD;MEAN;0.6910013604446515
WhiteMatter;JACRD;STD;0.025296011508932695
WhiteMatter;SNSVTY;MEAN;0.9382920748691175
WhiteMatter;SNSVTY;STD;0.009074615203251741
WhiteMatter;SPCFTY;MEAN;0.979192203702806
WhiteMatter;SPCFTY;STD;0.0023408809270245535
WhiteMatter;TN;MEAN;8026248.25
WhiteMatter;TN;STD;21334.972467465243
WhiteMatter;TP;MEAN;448749.0
WhiteMatter;TP;STD;26917.5513113656
