LABEL;METRIC;STATISTIC;VALUE
Amygdala;AUC;MEAN;0.9595566273650025
Amygdala;AUC;STD;0.023930910874705103
Amygdala;AVGDIST;MEAN;1.423510375376387
Amygdala;AVGDIST;STD;0.21344449920152198
Amygdala;DICE;MEAN;0.5183141375755327
Amygdala;DICE;STD;0.04343501662293014
Amygdala;FN;MEAN;267.4
Amygdala;FN;STD;162.2363707680864
Amygdala;FP;MEAN;5434.55
Amygdala;FP;STD;566.554275864193
Amygdala;HDRFDST;MEAN;12.25557394082214
Amygdala;HDRFDST;STD;1.3232185688847165
Amygdala;JACRD;MEAN;0.3509713175388851
Amygdala;JACRD;STD;0.039516072306600994
Amygdala;SNSVTY;MEAN;0.9198780579925877
Amygdala;SNSVTY;STD;0.047832436683448255
Amygdala;SPCFTY;MEAN;0.9992351967374175
Amygdala;SPCFTY;STD;7.972322906961765e-05
Amygdala;TN;MEAN;7100372.05
Amygdala;TN;STD;548.7264778557711
Amygdala;TP;MEAN;3063.0
Amygdala;TP;STD;274.0135033168986
GreyMatter;AUC;MEAN;0.9499866479906132
GreyMatter;AUC;STD;0.00631714877586888
GreyMatter;AVGDIST;MEAN;0.31442508945277686
GreyMatter;AVGDIST;STD;0.014273454592582694
GreyMatter;DICE;MEAN;0.7237677091726646
GreyMatter;DICE;STD;0.007948241505248886
GreyMatter;FN;MEAN;23795.25
GreyMatter;FN;STD;7196.243157891484
GreyMatter;FP;MEAN;359291.75
GreyMatter;FP;STD;18468.450088935453
GreyMatter;HDRFDST;MEAN;2.430107478145891
GreyMatter;HDRFDST;STD;0.4411095608342889
GreyMatter;JACRD;MEAN;0.5671736838002586
GreyMatter;JACRD;STD;0.00977091367193436
GreyMatter;SNSVTY;MEAN;0.9545618528557235
GreyMatter;SNSVTY;STD;0.014607390364759337
GreyMatter;SPCFTY;MEAN;0.9454114431255028
GreyMatter;SPCFTY;STD;0.002953398464713922
GreyMatter;TN;MEAN;6223505.65
GreyMatter;TN;STD;41422.4925726048
GreyMatter;TP;MEAN;502544.35
GreyMatter;TP;STD;29400.70842220473
Hippocampus;AUC;MEAN;0.9821714856285638
Hippocampus;AUC;STD;0.009264171706065595
Hippocampus;AVGDIST;MEAN;1.1818307123500351
Hippocampus;AVGDIST;STD;0.08328830575601107
Hippocampus;DICE;MEAN;0.5510962531061971
Hippocampus;DICE;STD;0.018931768763346752
Hippocampus;FN;MEAN;305.2
Hippocampus;FN;STD;185.17926449794533
Hippocampus;FP;MEAN;13773.35
Hippocampus;FP;STD;1340.0125102027966
Hippocampus;HDRFDST;MEAN;12.44703453241281
Hippocampus;HDRFDST;STD;1.1921960195047794
Hippocampus;JACRD;MEAN;0.380588784147349
Hippocampus;JACRD;STD;0.01797450493952432
Hippocampus;SNSVTY;MEAN;0.9662828277415546
Hippocampus;SNSVTY;STD;0.01857909245724339
Hippocampus;SPCFTY;MEAN;0.9980601435155732
Hippocampus;SPCFTY;STD;0.0001887832712928799
Hippocampus;TN;MEAN;7086438.85
Hippocampus;TN;STD;1646.3253710916322
Hippocampus;TP;MEAN;8619.6
Hippocampus;TP;STD;493.36481431087077
Thalamus;AUC;MEAN;0.9821777117475605
Thalamus;AUC;STD;0.005052379086057773
Thalamus;AVGDIST;MEAN;0.6537974741888215
Thalamus;AVGDIST;STD;0.1237772209862094
Thalamus;DICE;MEAN;0.7529828747908589
Thalamus;DICE;STD;0.028814701504288578
Thalamus;FN;MEAN;610.7
Thalamus;FN;STD;192.21605031838521
Thalamus;FP;MEAN;10697.05
Thalamus;FP;STD;1791.8969969002126
Thalamus;HDRFDST;MEAN;16.218011846721208
Thalamus;HDRFDST;STD;0.8521101687050493
Thalamus;JACRD;MEAN;0.6046809961938776
Thalamus;JACRD;STD;0.036959384631792845
Thalamus;SNSVTY;MEAN;0.9658638817963976
Thalamus;SNSVTY;STD;0.010130233449063294
Thalamus;SPCFTY;MEAN;0.9984915416987237
Thalamus;SPCFTY;STD;0.0002526964797445237
Thalamus;TN;MEAN;7080692.35
Thalamus;TN;STD;2004.9387839782044
Thalamus;TP;MEAN;17136.9
Thalamus;TP;STD;653.2358609262049
WhiteMatter;AUC;MEAN;0.9695793663359847
WhiteMatter;AUC;STD;0.0029312685894274534
WhiteMatter;AVGDIST;MEAN;0.22764357350279335
WhiteMatter;AVGDIST;STD;0.021652187226713384
WhiteMatter;DICE;MEAN;0.8265461090954002
WhiteMatter;DICE;STD;0.018987126216047232
WhiteMatter;FN;MEAN;16542.6
WhiteMatter;FN;STD;4787.421502228522
WhiteMatter;FP;MEAN;176569.4
WhiteMatter;FP;STD;20806.257903332837
WhiteMatter;HDRFDST;MEAN;2.564297504952112
WhiteMatter;HDRFDST;STD;0.35267308671966224
WhiteMatter;JACRD;MEAN;0.7048104695393178
WhiteMatter;JACRD;STD;0.027206579457184178
WhiteMatter;SNSVTY;MEAN;0.9657774995072677
WhiteMatter;SNSVTY;STD;0.00856993338346264
WhiteMatter;SPCFTY;MEAN;0.9733812331647018
WhiteMatter;SPCFTY;STD;0.0030378726392571004
WhiteMatter;TN;MEAN;6454137.4
WhiteMatter;TN;STD;20900.021718649
WhiteMatter;TP;MEAN;461887.6
WhiteMatter;TP;STD;27532.49301171254
