LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.5362692305493912
Amygdala;DICE;STD;0.04793997404856904
Amygdala;HDRFDST;MEAN;11.878850625687612
Amygdala;HDRFDST;STD;1.09220319199362
GreyMatter;DICE;MEAN;0.723201511703925
GreyMatter;DICE;STD;0.007991717348626519
GreyMatter;HDRFDST;MEAN;2.223606797749979
GreyMatter;HDRFDST;STD;0.3944271909999159
Hippocampus;DICE;MEAN;0.5365221228407909
Hippocampus;DICE;STD;0.023430342887406645
Hippocampus;HDRFDST;MEAN;12.010107259944371
Hippocampus;HDRFDST;STD;0.810754959671252
Thalamus;DICE;MEAN;0.7613635037812921
Thalamus;DICE;STD;0.027156242406984707
Thalamus;HDRFDST;MEAN;8.759664285640252
Thalamus;HDRFDST;STD;2.4017247142165643
WhiteMatter;DICE;MEAN;0.8231401790645225
WhiteMatter;DICE;STD;0.019281148077841124
WhiteMatter;HDRFDST;MEAN;3.0494332148412653
WhiteMatter;HDRFDST;STD;0.3177374202432983
